Duelo,Fecha 1,,,,11/08 - 17/08,Link,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?
1,herchu,2,1,Lord Trooper,12/08 - 09:30,https://boardgamearena.com/tournament?id=423761,,1,1,0
2,webbi,2,0,alehrosario,13/08 - 22:00,https://boardgamearena.com/tournament?id=423630,,1,1,0
3,Academia47,1,2,bignacho610,15/08 - 10:00,https://boardgamearena.com/tournament?id=424490,,1,0,1
4,maticarrizoc,2,1,Nicoooo95,12/08 - 22:25,https://boardgamearena.com/tournament?id=424020,,1,1,0
,,,,,,,,,,
Duelo,Fecha 2,,,,18/08 - 24/08,Link,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?
5,Lord Trooper,0,2,maticarrizoc,21/08 - 16:00,https://boardgamearena.com/tournament?id=425126,,1,0,1
6,Nicoooo95,1,2,Academia47,21/08 - 23:00,https://boardgamearena.com/tournament?id=426445,,1,0,1
7,bignacho610,2,0,webbi,24/08 - 13:00,https://boardgamearena.com/tournament?id=425862,,1,1,0
8,alehrosario,0,2,herchu,27/08 - 10:00,https://boardgamearena.com/tournament?id=427678,,1,0,1
,,,,,,,,,,
Duelo,Fecha 3,,,,25/08 - 31/08,Link,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?
9,webbi,2,0,Nicoooo95,29/08 - 22:00,https://boardgamearena.com/tournament?id=428802,,1,1,0
10,Academia47,2,1,Lord Trooper,30/08 - 10:30,https://boardgamearena.com/tournament?id=428105,,1,1,0
11,maticarrizoc,2,1,herchu,28/08 - 09:00,https://boardgamearena.com/tournament?id=428306,,1,1,0
12,bignacho610,0,2,alehrosario,31/08 - 22:00,https://boardgamearena.com/tournament?id=429557,,1,0,1
,,,,,,,,,,
Duelo,Fecha 4,,,,01/09 - 07/09,Link,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?
13,herchu,0,2,Academia47,04/09 - 19:45,https://boardgamearena.com/tournament?id=431256,,1,0,1
14,Lord Trooper,0,2,webbi,04/09 - 17:00,https://boardgamearena.com/tournament?id=429558,,1,0,1
15,Nicoooo95,0,0,bignacho610,05/09 - 21:00,https://boardgamearena.com/tournament?id=431519&token=I3cNsw4tXqD1VP8eykJCXdusI1Y42eef,,0,0,0
16,alehrosario,2,0,maticarrizoc,01/09 - 22:30,https://boardgamearena.com/tournament?id=430463,,1,1,0
,,,,,,,,,,
Duelo,Fecha 5,,,,08/09 - 14/09,Link,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?
17,webbi,0,0,herchu,,,,0,0,0
18,Academia47,0,0,maticarrizoc,,,,0,0,0
19,Nicoooo95,0,0,alehrosario,,,,0,0,0
20,bignacho610,0,0,Lord Trooper,,,,0,0,0
,,,,,,,,,,
Duelo,Fecha 6,,,,15/09 - 21/09,Link,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?
21,herchu,0,0,bignacho610,,,,0,0,0
22,Lord Trooper,0,0,Nicoooo95,,,,0,0,0
23,Academia47,0,0,alehrosario,,,,0,0,0
24,maticarrizoc,0,0,webbi,,,,0,0,0
,,,,,,,,,,
Duelo,Fecha 7,,,,29/09 - 05/10,Link,,¿Se jugó?,¿Ganó Local?,¿Ganó Visita?
25,webbi,0,0,Academia47,,,,0,0,0
26,Nicoooo95,0,0,herchu,,,,0,0,0
27,bignacho610,0,0,maticarrizoc,,,,0,0,0
28,alehrosario,0,0,Lord Trooper,,,,0,0,0
